S.no,Project,Year,Lender,$ Allocation,Country,Invested On
1126,"Kinshasa, Triomphal and Sendwe Boulevards Reinforcement (3.67km)",2017,CHEXIM,$5M,Democratic Republic of Congo,Transportation
1127,"Lauca-Huambo, Electricity Transmitting and Transforming System Construction",2016,CDB,$340M,Angola,Power
1128,"Cuito, Bié, Water Supply System",2016,CDB,$39M,Angola,Water
1129,Luanda Rehabilitation of EN100 Part One,2016,CDB,$34M,Angola,Transportation
1130,"RN5 Bukavu - Ngangezi - Kamanyola Upgrade, Phase II (50/55km)",2018,CHEXIM,$57M,Democratic Republic of Congo,Transportation
1131,"Benguela City, Electrification Contract and 22,800 Household Connections",2016,CDB,$71M,Angola,Power
1132,"Massango, Malanje, Water Supply System Construction",2016,CDB,$9M,Angola,Water
1133,"Cuanza-Sul, EN100 Road Rehabilitation, Cabo Ledo-Lobito Road Lot 2, Ponte do Rio Longa-Ponte do Rio Keve",2016,CDB,$50M,Angola,Transportation
1134,"Kalemie Road Rehabilitation and Modernization, Phase II",2018,CHEXIM,$27M,Democratic Republic of Congo,Transportation
1135,Electrification and Home Connections in Zaire Province,2018,MixedCN: ICBC & China Minsheng Bank,$405M,Angola,Power
1136,"Marimba, Malanje, Water Supply System",2016,CDB,$12M,Angola,Water
1137,"Cuanza-Sul, EN100 Rehabilitation, Cabo Ledo-Lobito Road Lot 4, Sumbe-Ponte do Rio Eval",2016,CDB,$31M,Angola,Transportation
1138,Lualaba: Kanina - Musonoï - Kapata Road Construction (12.93 km),2018,CHEXIM,$10M,Democratic Republic of Congo,Transportation
1139,"Malanje City, Water Supply System Construction",2016,CDB,$31M,Angola,Water
1140,"Benguela, EN100 Road Rehabilitation, Cabo Ledo-Lobito Lot 5, Ponte do Rio Eval/ Ponte do Rio Culango",2016,CDB,$41M,Angola,Transportation
1141,N'Djili Airport Terminal (Kinshasa),2019,CHEXIM,$301M,Democratic Republic of Congo,Transportation
1142,"Cunhinga, Bie, Water Supply System Construction",2016,CDB,$11M,Angola,Water
1143,Cuanza Sul Rehabilitation of EN120 Part 2,2016,CDB,$20M,Angola,Transportation
1144,"Chitembo, Bie, Water Supply System Construction",2016,CDB,$8M,Angola,Water
1145,"Cuanza-Sul Rehabilitation of EN120 Part 5, High Dondo / Waco Kungo / Keve River Bridge, Lot 05 - Waco Kungo / Keve River Bridge, 31.1km",2016,CDB,$49M,Angola,Transportation
1146,"Bula Atumba, Bengo, Water Supply System Construction",2016,CDB,$18M,Angola,Water
1147,"EN230 Road Lot 1 Lucala-Malage-Saurimo, Intersection to EN322",2016,CDB,$53M,Angola,Transportation
1148,"Bula Atumba, Bengo, Water Supply System Construction",2016,CDB,$10M,Angola,Water
1149,"EN230 Road Lot 2 Cacuso-Malange, 68.8km",2016,CDB,$60M,Angola,Transportation
1150,"Tchicala-Tcholoanga, Huambo, Water Supply System Construction",2016,CDB,$18M,Angola,Water
1151,"EN321 Road Rehabilitation, Maria Teresa to Dondo, 61km",2016,CDB,$27M,Angola,Transportation
1152,"Nharêa, Bié, Water Supply System Construction",2016,CDB,$8M,Angola,Water
1153,"Cuanza Sul, EC247 Road Rehabilitation, EN120-Cassongue Connection, 37km",2016,CDB,$12M,Angola,Transportation
1154,"Camucuio, Namibe, Water Supply System Construction",2016,CDB,$10M,Angola,Water
1155,"Sambizanga, Luanda, Rua 12 de Julho Road",2016,CDB,$46M,Angola,Transportation
1156,"Muxaluando, Bengo, Water Supply System Construction",2016,CDB,$41M,Angola,Water
1157,"Malanje, Talamungongo - Mussolo - Cambundi - Catembo Road Rehabilitation, 290km",2016,CDB,$55M,Angola,Transportation
1158,"Luanda Water Distribution Systems - Panguila, Caop-Velha, Km 32",2016,CDB,$41M,Angola,Water
1159,"Airport Terminals in Cuito, Bie",2016,CDB,$26M,Angola,Transportation
1160,"Luanda, Candelabro Water Distribution Center",2016,CDB,$24M,Angola,Water
1161,Cabinda Airport Expansion,2016,CDB,$60M,Angola,Transportation
1162,Package S5- Quilonga Grande Construction,2016,CDB,$386M,Angola,Water
1163,Construction of the River and Land Terminal in Soyo City,2016,CDB,$60M,Angola,Transportation
1164,Construction of the CD Morar and Installation of the System of Monitoring and Safety of Adductive Pipes in Luanda,2016,CDB,$13M,Angola,Water
1165,Marine Passenger Terminal in Cabinda,2016,CDB,$56M,Angola,Transportation
1166,Dredging of the Malanje River,2017,CDB,$28M,Angola,Water
1167,"EN100 Road Rehabilitation, Part 3",2016,CDB,$23M,Angola,Transportation
1168,"Sumbe City, Cuanza Sul, Integrated Infrastructure Lot 2 - Drainage",2019,ICBC,$106M,Angola,Water
1169,"Benguela, EN100 Road Rehabilitation Lot 6, 39km",2016,CDB,$38M,Angola,Transportation
1170,"Cuanza Sul, EN120 Road Rehabilitation, Part 3, Alto Dondo / Waco Kungo / Bridge of the River Keve, 52km, Lot 03 - Jetty on the Quimone / São Mamede Riv",2016,CDB,$38M,Angola,Transportation
1171,"EN120 Road Rehabilitation Lot 1, Alto Dondo-Desvio da Munenga, 46km",2016,CDB,$51M,Angola,Transportation
1172,"Luanda, N´Gola Kiluange Road Rehabilitation, 35.9km",2016,CDB,$26M,Angola,Transportation
1173,"Five Roads in Luanda Province Rehabilitation: Patriota-Talatona, Rua da Brigada, Rua D no Benfica, Rua Soba Mandume e Ramal de Bom Jesus",2016,CDB,$31M,Angola,Transportation
1174,"Gabela/Quilenda, Cuanza-Sul, EN110 Road Rehabilitation, 35km",2016,CDB,$18M,Angola,Transportation
1175,"Cuito, Bie, Road Rehabilitation, 15km",2016,CDB,$29M,Angola,Transportation
1176,"Malanje, Mussolo-Dumba Cabango Road Rehabilitation, 43km",2016,CDB,$25M,Angola,Transportation
1177,"Uige, Uige-Calumbo-Dambi-Negage Road Rehabilitation, 37.5km",2016,CDB,$50M,Angola,Transportation
1178,"Huambo, Catchiungo-Chinhama Road Rehabilitation, 65km",2016,CDB,$8M,Angola,Transportation
1179,"Uige, Quitexe-Ambuíla Road Rehabilitation",2016,CDB,$10M,Angola,Transportation
1180,"Cuanza Norte, Alto Dondo-Capanda Road Rehabilitation, São Pedro da Quilemba - Alto Dondo, 48 km",2016,CDB,$29M,Angola,Transportation
1181,"Malanje, Caculama (Mucari)- Tala Mungongo Road",2016,CDB,$27M,Angola,Transportation
1182,"Rehabilitation of the Cabolongo-Cacuaco Expressway, Connection to the Camama Road with Access to Zango and Central Kilamba",2016,CDB,$189M,Angola,Transportation
1183,"Rehabilitation of EN230, with Connection to the Unidade Operativa Overpass, and Improvements of the Luanda-Viana VIA Expressway",2016,CDB,$156M,Angola,Transportation
1184,Rehabilitationof EN230 between Viana and the New Luanda/Catete International Airport,2016,CDB,$245M,Angola,Transportation
1185,"Cruzamento-Cassongue Road Rehabilitation, 37m",2016,CDB,$27M,Angola,Transportation
1186,"3 Training Centers and Equipment for Angolan Railway Companies in Luanda (CFL), Benguela (CFB) and Moçâmedes",2016,CHEXIM,$39M,Angola,Transportation
1187,Namibe Province Urban Roads - Mocamedes Rehabilitation,2017,CDB,$19M,Angola,Transportation
1188,"Railway Connection for the New Luanda International Airport to Luanda City, 17.4km",2017,BoC,$150M,Angola,Transportation
